Noun,Frequency,English
程序,1449.0,program
情报,1449.0,intelligence
无辜,1449.0,innocent
情绪,1446.0,mood
怪物,1446.0,monster
内心,1444.0,heart
暴力,1440.0,violence
录像,1439.0,video
事故,1437.0,accident
艺术,1436.0,art
速度,1433.0,speed
神经,1433.0,nerve
道,1426.0,road
数字,1425.0,number
范围,1423.0,scope
太阳,1419.0,sun
午饭,1418.0,lunch
午餐,1416.0,lunch
歌曲,1411.0,song
婴儿,1409.0,baby
笑话,1407.0,joke
石头,1405.0,stone
屋,1401.0,room
细节,1400.0,detail
道理,1397.0,reason
船长,1396.0,captain
上校,1395.0,colonel
歌手,1395.0,singer
运气,1394.0,luck
餐厅,1392.0,dining room
同事,1392.0,colleague
烟,1392.0,cigarette
美女,1389.0,beauty
丝,1379.0,silk
团队,1377.0,team
鼻子,1374.0,nose
窗户,1367.0,window
奇迹,1366.0,miracle
护士,1365.0,nurse
空气,1365.0,air
表,1364.0,surface
台,1358.0,tower
媒体,1357.0,media
毒,1356.0,poison
纸,1351.0,paper
节,1351.0,festival
姐妹,1340.0,sisters
市,1338.0,city
政治,1337.0,politics
魔鬼,1335.0,devil
内容,1332.0,content
宝宝,1330.0,baby
蓝色,1323.0,blue
对手,1321.0,opponent
鬼魂,1321.0,ghost
牧师,1318.0,priest
年级,1317.0,grade
杂种,1316.0,hybrid
环境,1316.0,environment
雨,1311.0,rain
变态,1310.0,abnormal
警长,1309.0,sheriff
受害人,1305.0,victim
废话,1300.0,nonsense
效果,1299.0,effect
伤口,1299.0,wound
魔法,1291.0,magic
现金,1288.0,cash
儿童,1286.0,child
间谍,1279.0,spy
检察官,1279.0,prosecutor
脖子,1279.0,neck
玩具,1276.0,toy
女孩子,1274.0,girl
机器人,1272.0,robot
科,1269.0,division
省,1267.0,province
天气,1260.0,weather
态度,1256.0,manner
支票,1249.0,cheque
早餐,1247.0,breakfast
理论,1240.0,theory
生物,1240.0,biology
年纪,1237.0,age
角度,1237.0,angle
老鼠,1234.0,mouse
距离,1231.0,distance
男友,1230.0,boyfriend
大楼,1226.0,building
妓女,1224.0,prostitute
商店,1224.0,shop
能量,1222.0,energy
牙,1221.0,tooth
公主,1219.0,princess
包,1216.0,bag
单身,1214.0,single
传统,1212.0,tradition
女王,1210.0,queen
地图,1206.0,map
药物,1202.0,drug
狼,1202.0,wolf
面包,1201.0,bread
伙伴,1200.0,partner
女友,1200.0,girlfriend
世纪,1199.0,century
大麻,1198.0,marijuana
邮件,1195.0,mail
茶,1186.0,tea
椅子,1184.0,chair
鞋子,1183.0,shoe
陛下,1183.0,his majesty
血液,1182.0,blood
上尉,1175.0,captain
规定,1174.0,regulation
谎言,1172.0,lie
报,1171.0,newspaper
耳朵,1171.0,ear
葬礼,1170.0,funeral
机构,1167.0,mechanism
委员会,1167.0,committee
和平,1167.0,peace
程度,1163.0,degree
王,1163.0,king
裙子,1163.0,skirt
钻石,1162.0,diamond
全国,1157.0,nationwide
议员,1157.0,mp
餐馆,1156.0,restaurant
皮肤,1153.0,skin
部队,1152.0,force
全世界,1149.0,worldwide
权力,1148.0,that power
棒球,1147.0,baseball
装置,1146.0,device
熊,1146.0,bear
图,1140.0,picture
痕迹,1139.0,trace
河,1135.0,river
习惯,1133.0,habit
玻璃,1133.0,glass
数据,1133.0,data
区域,1133.0,area
镜头,1132.0,lens
勇气,1132.0,courage
员工,1129.0,staff
联盟,1127.0,alliance
本,1125.0,book
基地,1123.0,base
土地,1121.0,land
保姆,1119.0,nanny
注意力,1117.0,attention
时尚,1111.0,fashion
病毒,1110.0,virus
文章,1110.0,article
海滩,1109.0,beach
借口,1107.0,excuse
阳光,1107.0,sunlight
设备,1107.0,equipment
站,1106.0,stand
天赋,1105.0,talent
神像,1102.0,idol
医疗,1101.0,medical
激情,1099.0,passion
语言,1099.0,language
车子,1098.0,car
阁下,1095.0,your mightiness
提要,1088.0,feed
对象,1087.0,object
根,1085.0,root
重点,1084.0,focus
魅力,1084.0,charm
标准,1084.0,standard
助手,1084.0,assistant
话题,1080.0,topic
市场,1078.0,market
桥,1074.0,bridge
犹太人,1070.0,jewish
摇滚,1070.0,rock
王子,1070.0,prince
饼干,1064.0,biscuit
证,1062.0,certificate
科学,1058.0,science
说法,1058.0,statement
国际,1057.0,internationality
仪式,1057.0,ceremony
谋杀案,1053.0,murder
信心,1053.0,confidence
爵士,1050.0,jazz
癌症,1050.0,cancer
老公,1047.0,husband
剑,1047.0,sword
骨头,1045.0,bone
工具,1045.0,tool
男生,1042.0,boys
市长,1042.0,mayor
犯人,1040.0,prisoner
海军,1039.0,navy
名人,1039.0,celebrity
天才,1037.0,genius
结局,1036.0,ending
合同,1034.0,contract
小家伙,1034.0,little guy
人人,1031.0,everyone
伤,1031.0,hurt
肚子,1030.0,abdomen
车祸,1030.0,car accident
信用卡,1029.0,credit card
笔,1026.0,pen
电梯,1025.0,elevator
礼拜,1023.0,worship
蛇,1023.0,snake
三明治,1023.0,sandwich
动机,1023.0,motivation
黑色,1021.0,black
同学,1018.0,classmate
警报,1016.0,alarm
龙,1016.0,dragon
人质,1014.0,hostage
姿势,1010.0,posture
区别,1009.0,the difference
宇宙,1009.0,universe
自然,1007.0,nature
卧室,1006.0,bedroom
剧本,1005.0,script
手指,1004.0,finger
资格,999.0,qualifications
作家,998.0,writer
教训,998.0,lesson
被告,997.0,defendant
钱包,997.0,wallet
留言,997.0,message
贱人,996.0,bitch
汤,994.0,soup
粉丝,994.0,fan
工厂,992.0,factory
幻想,989.0,fantasy
手段,988.0,means
顾客,987.0,customer
农场,986.0,farm
网络,985.0,network
时机,982.0,opportunity
毛病,982.0,wrong
口袋,981.0,pocket
工,980.0,work
嫌犯,978.0,suspect
行李,977.0,luggage
观点,975.0,point of view
地板,974.0,floor
小丑,972.0,clown
年龄,971.0,age
小说,971.0,novel
雪,968.0,snow
建筑,966.0,architecture
社区,963.0,community
助理,962.0,assistant
布,960.0,cloth
交通,959.0,transportation
思想,956.0,thought
骑士,955.0,knight
唱片,955.0,record
洗手间,955.0,toilet
圣诞老人,953.0,santa claus
公路,942.0,highway
饮料,942.0,drinks
主题,941.0,theme
海盗,941.0,pirate
幸存者,940.0,survivor
塔,940.0,tower
牙齿,937.0,teeth
版,936.0,version
主任,935.0,director
头脑,935.0,mind
直升机,934.0,helicopter
校长,932.0,headmaster
波,931.0,wave
性感,930.0,sexy
一团糟,930.0,a mess
剧,929.0,drama
坏人,925.0,bad guy
物品,925.0,thing
眼神,920.0,eyes
格,919.0,grid
虫,919.0,insect
财产,918.0,property
水平,913.0,level
发型,911.0,hairstyle
服装,910.0,clothing
风险,908.0,risk
沙发,908.0,sofa
后果,906.0,as a result of
个性,906.0,personality
男性,904.0,male
国,904.0,country
中尉,902.0,lieutenant
卫星,901.0,satellite
电子,892.0,electronic
经济,891.0,economy
娃娃,891.0,baby
猴子,891.0,monkey
学院,889.0,college
座位,889.0,seat
夫妇,889.0,couple
牛奶,888.0,milk
损失,887.0,loss
同时,887.0,at the same time
声,887.0,voice
新娘,885.0,bride
类型,884.0,type
金属,882.0,metal
绿色,882.0,green
铁,882.0,iron
航班,881.0,flight
库,880.0,library
白色,880.0,white
小镇,879.0,small town
精力,879.0,energy
产品,879.0,product
兵,879.0,soldiers
老朋友,878.0,old friend
坏事,875.0,bad thing
法院,874.0,court
宗教,871.0,religion
蠢货,871.0,idiot
内裤,867.0,underwear
外套,865.0,coat
大事,865.0,event
经纪人,859.0,broker
停车场,858.0,parking lot
奶酪,854.0,cheese
陌生人,853.0,stranger
讲话,851.0,speech
军,850.0,military
地下室,850.0,basement
数,849.0,number
衬衫,848.0,shirt
金发,847.0,blond
胳膊,846.0,arm
礼,845.0,present
哥们儿,845.0,dude
疾病,843.0,disease
战士,842.0,warrior
公众,842.0,public
心脏病,842.0,heart disease
职责,842.0,responsibilities
诗,839.0,poetry
证词,837.0,testimony
调查局,836.0,bureau of investigation
森林,836.0,forest
手臂,834.0,arm
当事人,833.0,party
楼梯,832.0,stairs
背景,831.0,background
救护车,828.0,ambulance
拳,827.0,fist
西德,827.0,west germany
事务所,825.0,office
湖,825.0,lake
灾难,825.0,disaster
参议员,823.0,senator
正义,823.0,justice
网站,823.0,website
局长,822.0,director
凶器,822.0,murder weapon
成绩,821.0,score
所在,819.0,location
网,818.0,net
喜剧,817.0,comedy
殿下,816.0,your highness
荣誉,815.0,honor
设计师,814.0,designer
阶段,813.0,stage
牛仔,810.0,cowboy
香槟,810.0,champagne
艺术家,808.0,artist
关,806.0,close
技巧,806.0,skill
情感,805.0,emotion
中央,804.0,central
团,804.0,group
罪名,802.0,crime
街区,802.0,neighborhood
频道,801.0,channel
时期,800.0,period
物质,800.0,substance
眼镜,799.0,glasses
音,799.0,sound
屋顶,798.0,roof
愿望,798.0,desire
事物,797.0,thing
兔子,797.0,rabbit
绳子,795.0,rope
圣经,794.0,bible
可能性,794.0,possibility
血迹,793.0,blood stains
总部,793.0,headquarters
美味,793.0,tasty
传说,793.0,legend
阿姨,792.0,aunt
部,792.0,department
主角,791.0,main character
警察局,790.0,police station
全球,790.0,worldwide
形象,790.0,image
胡子,788.0,beard
小妞,787.0,chick
橄榄球,787.0,football
大哥,787.0,big brother
外星人,786.0,alien
走廊,785.0,corridor
症状,783.0,symptom
制服,781.0,uniform
肌肉,780.0,muscle
宝,780.0,precious
科学家,779.0,the scientist
一面,778.0,one side
噩梦,777.0,nightmare
心灵,776.0,soul
道德,775.0,morality
奶,774.0,milk
镜子,772.0,mirror
情人,770.0,lover
经典,770.0,classic
活力,770.0,vitality
图书馆,768.0,library
死刑,768.0,death penalty
袋子,766.0,bag
苹果,766.0,apple
傻子,766.0,fool
浴室,765.0,bathroom
胸部,765.0,chest
领导,761.0,lead
传奇,759.0,legend
障碍,757.0,obstacle
顾问,757.0,consultant
角,756.0,horn
作业,756.0,operation
危机,756.0,crisis
博物馆,755.0,museum
摄像机,754.0,camera
文化,752.0,culture
飞船,751.0,spaceship
主义,749.0,doctrine
摄影师,747.0,photographer
营地,746.0,camp
指挥官,745.0,commander
大厅,744.0,hall
花园,744.0,garden
豁免权,743.0,immunity
草,743.0,grass
威士忌,742.0,whisky
天空,741.0,sky
冰箱,739.0,refrigerator
万岁,738.0,long live
合伙人,738.0,partner
视频,738.0,video
治安,737.0,law and order
全身,737.0,whole body
外科,736.0,surgical
钢琴,736.0,piano
女郎,736.0,girl
数学,735.0,math
篮球,734.0,basketball
材料,732.0,material
诊所,732.0,clinic
身材,729.0,figure
海岸,727.0,coastal
直觉,726.0,intuition
废物,722.0,waste
绅士,721.0,gentleman
虫子,721.0,insect
台词,720.0,lines
公民,719.0,citizen
地盘,719.0,territory
鸡蛋,719.0,egg
摄像头,717.0,camera
造型,717.0,modeling
孩儿,717.0,baby
小姑娘,714.0,little girl
嫌疑犯,713.0,suspect
迹象,713.0,sign
航空,712.0,aviation
探长,712.0,inspector
仓库,711.0,storehouse
码头,710.0,pier
吉他,710.0,guitar
标记,708.0,mark
女子,706.0,woman
镇上,705.0,town
自行车,704.0,bike
郡,703.0,county
狗屁,701.0,bullshit
蜘蛛,701.0,spider
羊,697.0,sheep
封面,697.0,cover
针,695.0,needle
城堡,695.0,castle
疑犯,693.0,suspect
杀人犯,693.0,murderer
奴隶,692.0,slave
乡村,691.0,rural
功夫,691.0,effort
嘴巴,689.0,mouth
圈,689.0,lock up
老大,689.0,boss
幻觉,689.0,hallucination
大道,688.0,avenue
黑帮,687.0,gangster
样本,687.0,sample
肩膀,686.0,shoulder
悲剧,685.0,tragedy
膝盖,683.0,knee
引擎,683.0,engine
日记,681.0,journal
医学,681.0,medicine
食品,680.0,food
商业,680.0,business
运动员,680.0,athlete
沙漠,677.0,desert
手套,676.0,gloves
色情,675.0,pornography
种族,675.0,race
课程,673.0,course
萝,672.0,radish
舌头,672.0,tongue
字母,672.0,letter
家长,672.0,parents
胖子,671.0,fat man
项链,670.0,necklace
乐趣,670.0,pleasure
面具,669.0,mask
电视台,668.0,tv station
保安,668.0,security guard
我家,668.0,my home
薪水,667.0,salary
资金,663.0,funds
标志,663.0,logo
原则,663.0,in principle
妹,663.0,sister
室友,663.0,roommate
玉米,661.0,corn
基因,661.0,gene
上司,661.0,boss
宠物,660.0,pet
晚会,660.0,party
广场,659.0,square
纪录,659.0,record
职位,658.0,position
黄色,658.0,yellow
星星,657.0,star
掌,656.0,palm
大夫,654.0,doctor
基金,652.0,fund
球队,652.0,team
友谊,651.0,friendship
王八,649.0,bastard
大会,648.0,general assembly
表面,648.0,surface
位子,648.0,seat
智慧,647.0,wisdom
主席,647.0,president
饭店,645.0,restaurant
漫画,645.0,comics
性爱,645.0,sex
灵感,645.0,inspiration
沙,643.0,sand
囚犯,642.0,prisoner
角落,641.0,corner
大师,640.0,master
气氛,640.0,atmosphere
策略,639.0,strategy
老头,639.0,old man
主,639.0,host
脾气,639.0,temper
碎片,639.0,fragments
价格,639.0,price
坏蛋,638.0,bad guy
妳,638.0,you
亲爱的,638.0,honey
马克,637.0,mark
货车,636.0,truck
独舞,635.0,dance solo
馅饼,635.0,pie
优势,635.0,advantages
黄金,635.0,gold
性格,635.0,character
流氓,635.0,rogue
贼,634.0,thief
小孩子,633.0,child
夫妻,632.0,couple
皇后,631.0,queen
金钱,630.0,money
老人,630.0,elder
方案,629.0,plan
利益,628.0,benefit
树林,628.0,forest
劲,627.0,strength
军事,625.0,military
集团,625.0,group
地铁,625.0,subway
道路,625.0,the way
结论,623.0,in conclusion
体育,623.0,physical education
鲨鱼,623.0,shark
乘客,623.0,passenger
价钱,622.0,price
人群,622.0,crowd
通道,622.0,aisle
动力,621.0,power
土,620.0,earth
性命,619.0,life
工人,617.0,worker
手枪,617.0,pistol
啰,616.0,hello
协会,616.0,association
喉咙,615.0,throat
装备,613.0,equipment
足球,613.0,football
超人,613.0,superman
措施,613.0,measure
费,612.0,fee
化学,610.0,chemical
人选,609.0,candidates
少校,609.0,major
场景,608.0,scene
飞行员,608.0,pilot
一家,606.0,family
费用,605.0,cost
火灾,605.0,fire
大门,604.0,door
胃,604.0,stomach
党,603.0,party
运动,601.0,sports
工资,601.0,salary
科技,601.0,science and technology
性,601.0,sex
点子,601.0,idea
路线,600.0,route
来源,600.0,source
妇女,600.0,women
地毯,599.0,carpet
陷阱,599.0,trap
宴会,598.0,banquet
成就,595.0,achievement
警卫,595.0,guard
剧院,594.0,theater
器,592.0,device
人士,592.0,person
水果,591.0,fruit
局里,591.0,bureau
创意,589.0,creativity
珠宝,589.0,jewelry
器官,588.0,organ
玫瑰,588.0,rose
罪行,587.0,offense
失败者,587.0,loser
前妻,587.0,ex-wife
活儿,586.0,work
男子,586.0,man
时装,586.0,fashion
罪恶,586.0,sin
阴谋,584.0,conspiracy
魔术,582.0,magic
欲望,582.0,desire
蜜蜂,581.0,bee
实力,581.0,strength
精灵,581.0,elf
处境,579.0,situation
题,579.0,question
礼服,579.0,dress
专辑,578.0,album
祖母,577.0,grandmother
老爹,577.0,dad
福,576.0,blessing
保险箱,576.0,safe
西装,576.0,suit
电台,575.0,radio
护照,574.0,passport
生涯,574.0,career
知识,573.0,knowledge
理智,573.0,reason
小偷,572.0,thief
球员,572.0,player
领袖,572.0,leader
成年人,570.0,adult
节日,570.0,festival
深呼吸,570.0,take a deep breath
硬币,570.0,coin
信仰,569.0,belief
热狗,568.0,hot dog
奖金,568.0,bonus
旅程,568.0,journey
包裹,567.0,pack
末日,567.0,end
糖果,567.0,candy
目击者,567.0,eyewitness
片子,567.0,movie
地面,566.0,ground
肺,565.0,lung
量,565.0,quantity
院,563.0,hospital
拳击,563.0,boxing
毛,563.0,hair
毒气,563.0,poison gas
修女,562.0,nun
评论,560.0,comment
录像带,559.0,video tape
灯光,559.0,light
编辑,559.0,edit
指甲,559.0,nail
酱,558.0,sauce
冰淇淋,557.0,ice cream
厂,556.0,factory
夹克,555.0,jacket
人口,555.0,population
机密,554.0,confidential
帮派,554.0,gang
隐私,554.0,privacy
内衣,553.0,underwear
功能,553.0,function
象,552.0,elephant
口音,552.0,accent
品牌,551.0,brand
碗,551.0,bowl
虎,550.0,tiger
嫌疑人,549.0,suspect
相机,548.0,camera
声明,548.0,statement
汗,548.0,sweat
委托人,547.0,client
毒贩,547.0,drug dealer
老弟,547.0,brother
车站,545.0,station
秘书,545.0,secretary
环节,545.0,link
同伴,545.0,companion
全体,544.0,all
啦啦队,542.0,cheerleading
怪兽,542.0,monster
帝国,541.0,empire
使命,541.0,mission
杯子,541.0,cup
基础,541.0,base
酒精,540.0,alcohol
收入,540.0,income
场合,540.0,occasion
画面,539.0,picture
部长,539.0,minister
模型,539.0,model
幽灵,539.0,ghost
游泳池,539.0,swimming pool
恶梦,538.0,nightmare
牛肉,538.0,beef
车库,536.0,garage
通讯,536.0,communication
盘子,535.0,plate
名义,533.0,name
赌场,533.0,casino
力气,532.0,strength
官司,532.0,lawsuit
